geoid,neighborhood_2021,totalPopulation,malePercent,age<18Percent,age>60Percent,white,black,asian,hispanic,foreignBorn,collegeAbove,poverty,unemployment,renterPercent,noCarPercent,medianIncome,noMove,housingCostPerc,comDriveAlone,comCarpool,comPublicTransit,comWFH,comTaxi,comMotorcycle,comBikeWalk,commute<10min,commute10-29min,commute30-59min,commute>60min
2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
